batchSize,mode,totalRows,totalCost_s,overallRowsPerSec,dbCost_s,dbRowsPerSec,writeCost_s,copyCost_s,stageTotalCost_s,copyRowsPerSec
2000,INSERT,2000000,572.67,3492.0,544.98,3670.0,,,,
2000,INSERT_NO_PRESIGN,2000000,537.09,3724.0,509.0,3929.0,,,,
2000,STREAMING_LOAD,2000000,323.16,6189.0,287.42,6958.0,,,,
2000,STAGE_LOAD,2000000,64.34,31084.0,,,24.42,4.32,28.75,462545.0
3000,INSERT,2000000,408.7,4894.0,380.35,5258.0,,,,
3000,INSERT_NO_PRESIGN,2000000,386.42,5176.0,359.48,5564.0,,,,
3000,STREAMING_LOAD,2000000,235.38,8497.0,200.59,9971.0,,,,
3000,STAGE_LOAD,2000000,61.3,32627.0,,,21.84,4.22,26.06,473672.0
4000,INSERT,2000000,323.21,6188.0,296.82,6738.0,,,,
4000,INSERT_NO_PRESIGN,2000000,312.7,6396.0,285.1,7015.0,,,,
4000,STREAMING_LOAD,2000000,191.92,10421.0,156.58,12773.0,,,,
4000,STAGE_LOAD,2000000,59.64,33537.0,,,20.06,4.26,24.32,469622.0
5000,INSERT,2000000,278.72,7176.0,251.1,7965.0,,,,
5000,INSERT_NO_PRESIGN,2000000,268.05,7461.0,240.08,8330.0,,,,
5000,STREAMING_LOAD,2000000,165.56,12080.0,130.86,15283.0,,,,
5000,STAGE_LOAD,2000000,59.0,33900.0,,,18.63,4.54,23.17,440739.0
10000,INSERT,2000000,172.76,11577.0,145.75,13722.0,,,,
10000,INSERT_NO_PRESIGN,2000000,168.99,11835.0,140.76,14209.0,,,,
10000,STREAMING_LOAD,2000000,114.59,17453.0,78.8,25380.0,,,,
10000,STAGE_LOAD,2000000,51.64,38730.0,,,13.39,3.03,16.42,660138.0
20000,INSERT,2000000,118.16,16926.0,89.49,22350.0,,,,
20000,INSERT_NO_PRESIGN,2000000,117.73,16988.0,89.73,22290.0,,,,
20000,STREAMING_LOAD,2000000,84.07,23789.0,48.7,41066.0,,,,
20000,STAGE_LOAD,2000000,46.85,42686.0,,,9.05,2.5,11.54,800858.0
30000,INSERT,2000000,99.56,20088.0,72.79,27477.0,,,,
30000,INSERT_NO_PRESIGN,2000000,107.31,18638.0,79.95,25015.0,,,,
30000,STREAMING_LOAD,2000000,74.39,26885.0,38.69,51693.0,,,,
30000,STAGE_LOAD,2000000,46.03,43454.0,,,7.21,3.41,10.62,586571.0
40000,INSERT,2000000,92.59,21601.0,64.59,30966.0,,,,
40000,INSERT_NO_PRESIGN,2000000,98.59,20287.0,69.31,28858.0,,,,
40000,STREAMING_LOAD,2000000,66.83,29927.0,31.57,63355.0,,,,
40000,STAGE_LOAD,2000000,45.03,44412.0,,,6.66,2.68,9.34,746503.0
50000,INSERT,2000000,84.72,23607.0,56.45,35429.0,,,,
50000,INSERT_NO_PRESIGN,2000000,93.39,21416.0,63.84,31329.0,,,,
50000,STREAMING_LOAD,2000000,65.65,30464.0,30.2,66232.0,,,,
50000,STAGE_LOAD,2000000,43.93,45524.0,,,5.66,2.88,8.54,694830.0
100000,INSERT,2000000,76.25,26228.0,47.01,42547.0,,,,
100000,INSERT_NO_PRESIGN,2000000,83.89,23840.0,53.82,37159.0,,,,
100000,STREAMING_LOAD,2000000,59.41,33666.0,22.64,88356.0,,,,
100000,STAGE_LOAD,2000000,44.49,44954.0,,,5.09,2.55,7.64,782997.0
200000,INSERT,2000000,68.3,29283.0,34.65,57713.0,,,,
200000,INSERT_NO_PRESIGN,2000000,76.57,26121.0,42.7,46836.0,,,,
200000,STREAMING_LOAD,2000000,53.59,37320.0,15.67,127643.0,,,,
200000,STAGE_LOAD,2000000,46.5,43009.0,,,4.48,3.2,7.68,625154.0
